algorithm_name,parameter_name,parameter_value,best_fitness
FA,alpha,0.1,1.2198056076211409e-05
FA,alpha,0.2,7.047038775060769e-05
FA,alpha,0.30000000000000004,0.00013978314558314508
FA,alpha,0.4,0.00020092454047279516
FA,alpha,0.5,0.0003395106158421994
FA,alpha,0.6,0.000494233722787449
FA,alpha,0.7000000000000001,0.0006006769715195372
FA,alpha,0.8,0.0009380706570715942
FA,alpha,0.9,0.0011795273378583176
FA,alpha,1.0,0.001717563359258842
FA,beta0,0.5,0.00023941751901878389
FA,beta0,0.6666666666666666,0.00017997776561912105
FA,beta0,0.8333333333333333,0.0002473933149702473
FA,beta0,1.0,0.0003395106158421994
FA,beta0,1.1666666666666665,0.0006900747619116985
FA,beta0,1.3333333333333333,0.0018996162950287506
FA,beta0,1.5,0.0029324166561548576
FA,beta0,1.6666666666666665,0.012865860039767222
FA,beta0,1.8333333333333333,0.1844395663789111
FA,beta0,2.0,2.0200118440780024
FA,gamma,0.001,0.00041192503167201966
FA,gamma,0.012,0.0003463562462102162
FA,gamma,0.023000000000000003,0.00040040658260120503
FA,gamma,0.034,0.00044389077882581873
FA,gamma,0.045000000000000005,124.04147856629464
FA,gamma,0.05600000000000001,123.03432831224166
FA,gamma,0.067,123.03697738610947
FA,gamma,0.07800000000000001,123.03721284550937
FA,gamma,0.08900000000000001,123.03723470557175
FA,gamma,0.1,123.0372368028268
ABC,limit,10.0,0.30171954126591916
ABC,limit,20.0,0.0036576923833904736
ABC,limit,30.0,0.02633487970382543
ABC,limit,40.0,0.007299803847868992
ABC,limit,50.0,0.0002748739455661857
ABC,limit,60.0,0.0002748739455661857
ABC,limit,70.0,0.0002748739455661857
ABC,limit,80.0,0.0002748739455661857
ABC,limit,90.0,0.0002748739455661857
ABC,limit,100.0,0.0002748739455661857
Cuckoo,pa,0.1,1.9731981888194694
Cuckoo,pa,0.14444444444444446,3.0130322443904753
Cuckoo,pa,0.18888888888888888,2.627010135291707
Cuckoo,pa,0.23333333333333334,3.1540616462100877
Cuckoo,pa,0.2777777777777778,2.591009951883868
Cuckoo,pa,0.32222222222222224,3.3053864495337453
Cuckoo,pa,0.3666666666666667,4.194271394012504
Cuckoo,pa,0.4111111111111111,3.2888697233603392
Cuckoo,pa,0.4555555555555556,4.262578413697359
Cuckoo,pa,0.5,4.068833288122375
Cuckoo,alpha,0.001,5.698978201651418
Cuckoo,alpha,0.012,2.562404858719181
Cuckoo,alpha,0.023000000000000003,1.5918079478654423
Cuckoo,alpha,0.034,1.15479722984784
Cuckoo,alpha,0.045000000000000005,0.6570391852667207
Cuckoo,alpha,0.05600000000000001,0.5092804029101513
Cuckoo,alpha,0.067,0.3572867404236421
Cuckoo,alpha,0.07800000000000001,0.33024763162705206
Cuckoo,alpha,0.08900000000000001,0.2319840285811074
Cuckoo,alpha,0.1,0.23839650327132086
Cuckoo,beta,1.0,1.065902875460668
Cuckoo,beta,1.1111111111111112,1.3396069800021448
Cuckoo,beta,1.2222222222222223,2.2384802872460647
Cuckoo,beta,1.3333333333333333,2.6238416562904687
Cuckoo,beta,1.4444444444444444,2.707672762602046
Cuckoo,beta,1.5555555555555556,3.282542723149291
Cuckoo,beta,1.6666666666666665,3.832104498504537
Cuckoo,beta,1.7777777777777777,3.174598583819738
Cuckoo,beta,1.8888888888888888,6.320059649627576
Cuckoo,beta,2.0,6.112773017027409
PSO,w,0.1,22.09219227004376
PSO,w,0.2,29.84476298542431
PSO,w,0.30000000000000004,21.235765237681463
PSO,w,0.4,1.8116591924623178
PSO,w,0.5,0.8858132472039966
PSO,w,0.6,0.00015848483516474912
PSO,w,0.7000000000000001,0.0006812046170558061
PSO,w,0.8,1.8598792409730875
PSO,w,0.9,45.78474172037628
PSO,w,1.0,122.53004790004998
PSO,c1,0.5,2.009491168434907
PSO,c1,0.7222222222222222,0.025166730417353518
PSO,c1,0.9444444444444444,0.0004782990469215408
PSO,c1,1.1666666666666665,0.020544268116966833
PSO,c1,1.3888888888888888,0.0011455131723356268
PSO,c1,1.6111111111111112,0.0017783064062863265
PSO,c1,1.8333333333333333,0.026238427508949218
PSO,c1,2.0555555555555554,0.3852210521881442
PSO,c1,2.2777777777777777,6.010473954027781
PSO,c1,2.5,24.774078345941376
PSO,c2,0.5,4.514124831217762
PSO,c2,0.7222222222222222,1.252650048266852
PSO,c2,0.9444444444444444,0.030363636210710518
PSO,c2,1.1666666666666665,0.005773086092577811
PSO,c2,1.3888888888888888,0.0005892971730756551
PSO,c2,1.6111111111111112,0.0009560692115264174
PSO,c2,1.8333333333333333,0.24194289267937444
PSO,c2,2.0555555555555554,2.843329891718334
PSO,c2,2.2777777777777777,5.6514425932518035
PSO,c2,2.5,41.26820016083396
ACO,rho,0.5,7.679436335850157
ACO,rho,0.5544444444444444,2.675031422968661
ACO,rho,0.6088888888888889,0.26957149221921134
ACO,rho,0.6633333333333333,0.00016116251502639817
ACO,rho,0.7177777777777777,7.137886068224577e-08
ACO,rho,0.7722222222222221,3.483187415879668e-08
ACO,rho,0.8266666666666667,9.799520588747884e-07
ACO,rho,0.8811111111111111,9.426604979949506e-05
ACO,rho,0.9355555555555555,0.005571966306644297
ACO,rho,0.99,0.07677447049772061
