Test Case,Algorithm,Mean Value,Mean Weight,Solution,Mean Time (s),Mean Space (bytes)
test_case_5,ABC,38.0,15.0,10110,0.2502110481262207,192.0
test_case_5,FA,47.3,19.1,11110,0.10306177139282227,192.0
test_case_5,Cuckoo,38.0,15.0,10110,0.17782676219940186,192.0
test_case_5,PSO,35.2,14.0,10110,0.1014902114868164,192.0
test_case_5,ACO,38.0,15.0,10110,0.4875394105911255,192.0
test_case_5,HC,32.0,14.0,00011,0.12857592105865479,192.0
test_case_5,SA,37.7,14.9,10110,0.002469658851623535,192.0
test_case_5,GA,38.0,15.0,10110,0.3436882495880127,152.0
test_case_10,ABC,99.0,30.0,1111110100,0.2749837636947632,272.0
test_case_10,FA,99.0,30.0,1111110100,0.13272628784179688,272.0
test_case_10,Cuckoo,99.0,30.0,1111110100,0.18682665824890138,272.0
test_case_10,PSO,90.5,28.1,1101110100,0.14863719940185546,272.0
test_case_10,ACO,99.0,30.0,1111110100,1.047750973701477,272.0
test_case_10,HC,89.0,30.0,1100101010,0.10184278488159179,272.0
test_case_10,SA,96.4,30.0,1111000111,0.0024785757064819335,272.0
test_case_10,GA,99.0,30.0,1111110100,0.22125535011291503,192.0
test_case_20,ABC,147.0,50.0,00111000010011100011,0.28724520206451415,432.0
test_case_20,FA,147.0,50.0,00111000010011100011,0.5749261379241943,432.0
test_case_20,Cuckoo,147.0,50.0,00111000110011100001,0.25146071910858153,432.0
test_case_20,PSO,137.0,47.2,01011000000111100011,0.1751004457473755,432.0
test_case_20,ACO,146.8,50.0,00111000010010100111,1.5673206567764282,432.0
test_case_20,HC,145.0,50.0,00011000111001100011,0.10474059581756592,432.0
test_case_20,SA,145.2,50.0,00011000100011100111,0.0023581743240356444,432.0
test_case_20,GA,146.5,50.0,00111000010011100011,0.21822819709777833,272.0
test_case_30,ABC,223.0,80.0,000010111100000011110000000111,0.31693918704986573,592.0
test_case_30,FA,223.0,80.0,000000111100001011110000000111,3.0647379398345946,592.0
test_case_30,Cuckoo,223.0,80.0,000010111100000011110000000111,0.3056873083114624,592.0
test_case_30,PSO,208.4,76.4,100100011100010011010000001101,0.2480307102203369,592.0
test_case_30,ACO,222.4,80.0,010000111000010011110000001111,2.00466251373291,592.0
test_case_30,HC,214.0,78.0,000010011100001000110000100111,0.1097841739654541,592.0
test_case_30,SA,217.9,80.0,100000111100001101101000011011,0.0024723529815673826,592.0
test_case_30,GA,221.4,80.0,000010111101000011100100000111,0.24345710277557372,352.0
