Algo,DIM,POP,Fitness,Time (s),Space (bytes)
FA,10,50,3.864786346825427e-08,3.8235058784484863,4000
ABC,10,50,3.8327411584273936e-14,0.2946968078613281,4000
Cuckoo,10,50,0.0001496225605677196,0.07137060165405273,80
PSO,10,50,1.7855050883273012e-18,0.03257584571838379,80
HC,10,50,0.7938372711405733,0.022182226181030273,80
GA,10,50,0.004350461606704547,0.03796792030334473,80
SA,10,50,0.0,0.16158413887023926,80
FA,10,100,3.311140670679111e-08,15.154764890670776,8000
ABC,10,100,1.3326103852611203e-14,0.5848050117492676,8000
Cuckoo,10,100,0.00014321964007947893,0.13389086723327637,80
PSO,10,100,4.677532471852241e-20,0.061988115310668945,80
HC,10,100,0.7938372711405733,0.021996021270751953,80
GA,10,100,0.0032032535858986426,0.06694197654724121,80
SA,10,100,0.0,0.16222596168518066,80
FA,10,200,2.2228504475888366e-08,61.20699405670166,16000
ABC,10,200,3.186135141240253e-14,1.168898105621338,16000
Cuckoo,10,200,0.0002955067871196988,0.26109910011291504,80
PSO,10,200,4.372901399882526e-22,0.12087798118591309,80
HC,10,200,0.7938372711405733,0.022366046905517578,80
GA,10,200,0.0007733417816801668,0.12505197525024414,80
SA,10,200,0.0,0.1614820957183838,80
FA,30,50,7.551371217982144e-07,3.817056894302368,12000
ABC,30,50,1.7294476995921163e-05,0.29561400413513184,12000
Cuckoo,30,50,0.4296428374296589,0.09076213836669922,240
PSO,30,50,2.9496544063113192e-06,0.03601193428039551,240
HC,30,50,6.951017560569533,0.03419375419616699,240
GA,30,50,0.4970423310797172,0.04216194152832031,240
SA,30,50,0.0,0.165330171585083,240
FA,30,100,7.901188595581261e-07,15.275969743728638,24000
ABC,30,100,9.65610638030588e-06,0.5972769260406494,24000
Cuckoo,30,100,1.7858681282512496,0.17607998847961426,240
PSO,30,100,2.6057158779058666e-08,0.07006096839904785,240
HC,30,100,6.951017560569533,0.03457307815551758,240
GA,30,100,0.3602005747361769,0.07655000686645508,240
SA,30,100,0.0,0.16685914993286133,240
FA,30,200,4.6844983522943155e-07,59.183653831481934,48000
ABC,30,200,8.780852999191787e-06,1.1632568836212158,48000
Cuckoo,30,200,2.168348492516846,0.33512401580810547,240
PSO,30,200,1.4833240988584962e-10,0.13409709930419922,240
HC,30,200,6.951017560569533,0.036658287048339844,240
GA,30,200,0.2276633009040846,0.15054893493652344,240
SA,30,200,0.0,0.16541123390197754,240
FA,100,50,631.1794073882593,4.223921298980713,40000
ABC,100,50,64.97947042393511,0.29705214500427246,40000
Cuckoo,100,50,27.45933673462496,0.1565098762512207,800
PSO,100,50,46.31074843273142,0.04715418815612793,800
HC,100,50,97.1886869257735,0.07638192176818848,800
GA,100,50,75.40479180275764,0.054044246673583984,800
SA,100,50,0.0,0.17471694946289062,800
FA,100,100,609.3918823508495,16.735880136489868,80000
ABC,100,100,29.043303361053816,0.5890731811523438,80000
Cuckoo,100,100,49.56927832808162,0.30601978302001953,800
PSO,100,100,8.397990999851269,0.09078598022460938,800
HC,100,100,97.1886869257735,0.07752776145935059,800
GA,100,100,84.04799103062062,0.09972596168518066,800
SA,100,100,0.0,0.1751420497894287,800
FA,100,200,595.5032325667194,67.61027717590332,160000
ABC,100,200,49.975585933728304,1.17140793800354,160000
Cuckoo,100,200,55.94960141133738,0.603863000869751,800
PSO,100,200,2.0159636294746606,0.1823592185974121,800
HC,100,200,97.1886869257735,0.07644200325012207,800
GA,100,200,67.58321910771667,0.19105887413024902,800
SA,100,200,0.0,0.17493700981140137,800
